prompt,completion
How many POS orders were made 10 days ago?,SELECT COUNT(*) FROM pos_order WHERE DATE(date_order) = CURRENT_DATE - INTERVAL '10 days';
Identify top 10 cashiers based on total earnings.,"SELECT po.cashier, SUM(po.amount_total) AS total_sales FROM pos_order po GROUP BY po.cashier ORDER BY total_sales DESC LIMIT 10;"
Average quantity per item sold in last 15 days?,"SELECT pt.name, AVG(pol.qty) AS avg_qty FROM pos_order_line pol JOIN pos_order po ON pol.order_id = po.id JOIN product_product pp ON pol.product_id = pp.id JOIN product_template pt ON pp.product_tmpl_id = pt.id WHERE po.date_order >= CURRENT_DATE - INTERVAL '15 days' GROUP BY pt.name;"
"Orders from customer 'General Public', show details.",SELECT po.* FROM pos_order po JOIN res_partner rp ON po.partner_id = rp.id WHERE rp.name = 'General Public';
Average quantity per item sold in last 30 days?,"SELECT pt.name, AVG(pol.qty) AS avg_qty FROM pos_order_line pol JOIN pos_order po ON pol.order_id = po.id JOIN product_product pp ON pol.product_id = pp.id JOIN product_template pt ON pp.product_tmpl_id = pt.id WHERE po.date_order >= CURRENT_DATE - INTERVAL '30 days' GROUP BY pt.name;"
"Orders from customer 'John Doe', show details.",SELECT po.* FROM pos_order po JOIN res_partner rp ON po.partner_id = rp.id WHERE rp.name = 'John Doe';
What are the top 5 products sold recently?,"SELECT pt.name, SUM(pol.qty) AS total_sold FROM pos_order_line pol JOIN pos_order po ON pol.order_id = po.id JOIN product_product pp ON pol.product_id = pp.id JOIN product_template pt ON pp.product_tmpl_id = pt.id GROUP BY pt.name ORDER BY total_sold DESC LIMIT 5;"
How many POS orders were made 1 days ago?,SELECT COUNT(*) FROM pos_order WHERE DATE(date_order) = CURRENT_DATE - INTERVAL '1 days';
"Orders from customer 'Sara Tan', show details.",SELECT po.* FROM pos_order po JOIN res_partner rp ON po.partner_id = rp.id WHERE rp.name = 'Sara Tan';
Identify top 20 cashiers based on total earnings.,"SELECT po.cashier, SUM(po.amount_total) AS total_sales FROM pos_order po GROUP BY po.cashier ORDER BY total_sales DESC LIMIT 20;"
Average quantity per item sold in last 7 days?,"SELECT pt.name, AVG(pol.qty) AS avg_qty FROM pos_order_line pol JOIN pos_order po ON pol.order_id = po.id JOIN product_product pp ON pol.product_id = pp.id JOIN product_template pt ON pp.product_tmpl_id = pt.id WHERE po.date_order >= CURRENT_DATE - INTERVAL '7 days' GROUP BY pt.name;"
How many POS orders were made 8 days ago?,SELECT COUNT(*) FROM pos_order WHERE DATE(date_order) = CURRENT_DATE - INTERVAL '8 days';
What are the top 3 products sold recently?,"SELECT pt.name, SUM(pol.qty) AS total_sold FROM pos_order_line pol JOIN pos_order po ON pol.order_id = po.id JOIN product_product pp ON pol.product_id = pp.id JOIN product_template pt ON pp.product_tmpl_id = pt.id GROUP BY pt.name ORDER BY total_sold DESC LIMIT 3;"
What are the top 10 products sold recently?,"SELECT pt.name, SUM(pol.qty) AS total_sold FROM pos_order_line pol JOIN pos_order po ON pol.order_id = po.id JOIN product_product pp ON pol.product_id = pp.id JOIN product_template pt ON pp.product_tmpl_id = pt.id GROUP BY pt.name ORDER BY total_sold DESC LIMIT 10;"
How many POS orders were made 28 days ago?,SELECT COUNT(*) FROM pos_order WHERE DATE(date_order) = CURRENT_DATE - INTERVAL '28 days';
Revenue collected in the past 30 days?,SELECT SUM(amount_total) AS total_revenue FROM pos_order WHERE date_order >= CURRENT_DATE - INTERVAL '30 days';
How many POS orders were made 8 days ago?,SELECT COUNT(*) FROM pos_order WHERE DATE(date_order) = CURRENT_DATE - INTERVAL '8 days';
"Orders from customer 'Sara Tan', show details.",SELECT po.* FROM pos_order po JOIN res_partner rp ON po.partner_id = rp.id WHERE rp.name = 'Sara Tan';
